date,open,high,low,close,Adj Close,Volume
2024-11-01 00:00:00-5:00,2514.87793,2585.139648,2465.161133,2510.638672,2510.638672,103581.5313
2024-11-04 00:00:00-5:00,2456.281006,2489.269043,2356.220215,2397.002197,2397.002197,86424.28125
2024-11-05 00:00:00-5:00,2396.667725,2479.611572,2379.680176,2422.383789,2422.383789,111362.9688
2024-11-06 00:00:00-5:00,2422.358154,2746.581299,2420.404785,2724.066895,2724.066895,319171.9063
2024-11-07 00:00:00-5:00,2724.103516,2920.254883,2701.493164,2897.378662,2897.378662,288502.4688
2024-11-08 00:00:00-5:00,2897.605713,2985.903809,2888.891602,2963.842773,2963.842773,223061.9219
2024-11-11 00:00:00-5:00,3186.017822,3391.053711,3108.15918,3375.318115,3375.318115,321946.75
2024-11-12 00:00:00-5:00,3375.300781,3446.600342,3210.093506,3246.910645,3246.910645,337187.3125
2024-11-13 00:00:00-5:00,3247.360107,3338.787109,3120.795654,3191.413574,3191.413574,272145.2813
2024-11-14 00:00:00-5:00,3191.383789,3242.289551,3028.755127,3059.218506,3059.218506,188155.7188
2024-11-15 00:00:00-5:00,3058.630127,3131.62915,3011.415527,3090.749023,3090.749023,184238.5313
2024-11-18 00:00:00-5:00,3076.201904,3226.44043,3051.056152,3209.222412,3209.222412,173589.9531
2024-11-19 00:00:00-5:00,3209.436279,3222.794678,3069.877197,3111.373535,3111.373535,152452.2344
2024-11-20 00:00:00-5:00,3111.369873,3161.656738,3031.456055,3072.168701,3072.168701,157279.625
2024-11-21 00:00:00-5:00,3072.055908,3389.924072,3032.633301,3359.868652,3359.868652,321323.9688
2024-11-22 00:00:00-5:00,3360.04248,3429.22583,3260.876709,3331.47876,3331.47876,211050.9844
2024-11-25 00:00:00-5:00,3364.49585,3546.804932,3304.105225,3414.619385,3414.619385,295389.0625
2024-11-26 00:00:00-5:00,3414.348145,3462.734619,3252.959717,3323.712891,3323.712891,205740.1875
2024-11-27 00:00:00-5:00,3323.771729,3688.376221,3301.498535,3657.506836,3657.506836,289990.4375
2024-11-29 00:00:00-5:00,3579.584717,3649.69751,3536.608887,3593.813232,3593.813232,167157.9219
2024-12-02 00:00:00-5:00,3710.415283,3761.706299,3556.288086,3644.589844,3644.589844,225984.8281
2024-12-03 00:00:00-5:00,3644.637695,3671.592773,3502.518311,3617.835205,3617.835205,212928.6094
2024-12-04 00:00:00-5:00,3618.02002,3898.792236,3617.28833,3843.274414,3843.274414,359109.6875
2024-12-05 00:00:00-5:00,3843.544678,3959.498779,3679.249756,3788.466309,3788.466309,369549.7188
2024-12-06 00:00:00-5:00,3788.671143,4095.567627,3781.295654,4004.7229,4004.7229,295062.3438
2024-12-09 00:00:00-5:00,4007.462402,4008.674316,3497.390625,3715.042969,3715.042969,335491.8438
2024-12-10 00:00:00-5:00,3715.638428,3781.717773,3516.359619,3630.488525,3630.488525,285823.3438
2024-12-11 00:00:00-5:00,3630.404541,3851.646973,3564.698242,3834.756592,3834.756592,198216.125
2024-12-12 00:00:00-5:00,3834.852295,3988.983643,3799.402344,3882.647461,3882.647461,205508.5625
2024-12-13 00:00:00-5:00,3882.578613,3969.191162,3853.962158,3907.743408,3907.743408,142704.8125
2024-12-16 00:00:00-5:00,3957.925049,4108.250977,3882.044189,3987.412354,3987.412354,237392.5625
2024-12-17 00:00:00-5:00,3987.278809,4041.364502,3848.665527,3893.258545,3893.258545,169837.7813
2024-12-18 00:00:00-5:00,3893.237305,3907.26416,3615.913574,3624.781006,3624.781006,238731.9063
2024-12-19 00:00:00-5:00,3625.01416,3718.291992,3322.639893,3414.534912,3414.534912,367426.25
2024-12-20 00:00:00-5:00,3414.843506,3497.343262,3096.592773,3470.982666,3470.982666,406592.9063
2024-12-23 00:00:00-5:00,3278.800293,3462.455811,3214.504883,3418.308594,3418.308594,224260.6094
2024-12-24 00:00:00-5:00,3418.171631,3537.565918,3353.564697,3491.431885,3491.431885,130272.9609
2024-12-26 00:00:00-5:00,3495.377441,3512.71167,3302.769287,3331.940674,3331.940674,155711.25
2024-12-27 00:00:00-5:00,3331.502197,3437.835938,3302.005859,3329.01709,3329.01709,156749.7656
2024-12-30 00:00:00-5:00,3352.259033,3431.808594,3296.872803,3358.908447,3358.908447,164808.8438
2024-12-31 00:00:00-5:00,3356.422852,3447.559082,3311.252441,3332.065918,3332.065918,122959.2031
2025-01-02 00:00:00-5:00,3353.684814,3506.043701,3347.678223,3452.406982,3452.406982,105921.8047
2025-01-03 00:00:00-5:00,3452.834473,3629.755615,3421.155518,3607.716797,3607.716797,130528.3281
2025-01-06 00:00:00-5:00,3635.748291,3745.644043,3610.024658,3688.841064,3688.841064,139047.7344
2025-01-07 00:00:00-5:00,3688.399414,3701.966064,3356.124512,3380.513428,3380.513428,193373.2969
2025-01-08 00:00:00-5:00,3380.775391,3414.543945,3207.772461,3326.632324,3326.632324,167098.75
2025-01-10 00:00:00-5:00,3219.367188,3321.952637,3194.753418,3266.686279,3266.686279,142981.4844
2025-01-13 00:00:00-5:00,3266.908936,3336.726807,2919.015381,3136.94751,3136.94751,270375.3125
2025-01-14 00:00:00-5:00,3136.897949,3256.417969,3124.889404,3224.089111,3224.089111,129083.5078
2025-01-15 00:00:00-5:00,3224.700439,3474.887207,3185.673828,3451.493896,3451.493896,185178.3281
2025-01-16 00:00:00-5:00,3451.426758,3460.062012,3263.243408,3307.637207,3307.637207,181302.7969
2025-01-17 00:00:00-5:00,3307.900146,3526.492188,3307.195068,3475.023193,3475.023193,196884.6406
2025-01-21 00:00:00-5:00,3280.441895,3367.767578,3201.106934,3327.603271,3327.603271,195865.6719
2025-01-22 00:00:00-5:00,3327.822754,3365.840576,3220.531982,3241.084961,3241.084961,119757.9766
2025-01-23 00:00:00-5:00,3241.118408,3348.870605,3182.125,3338.693604,3338.693604,178147.625
2025-01-24 00:00:00-5:00,3339.354492,3428.321533,3275.519531,3309.793945,3309.793945,187030.0469
2025-01-27 00:00:00-5:00,3231.035645,3253.243652,3006.277832,3182.183594,3182.183594,276808.5938
2025-01-28 00:00:00-5:00,3182.095459,3223.639648,3038.141602,3076.163086,3076.163086,137922.4063
