date,open,high,low,close,Adj Close,Volume,,
2020-03-16 00:00:00-5:00,5359.657227,5364.634277,4469.255859,5035.299316,5035.299316,299436.625,,
2020-03-17 00:00:00-5:00,5116.459961,5522.986328,4978.596191,5322.060059,5322.060059,343060.0938,,
2020-03-18 00:00:00-5:00,5318.29541,5439.752441,5010.422363,5391.838379,5391.838379,265146,,
2020-03-19 00:00:00-5:00,5400.520508,6410.740234,5256.058594,6169.000977,6169.000977,302414.4063,,
2020-03-20 00:00:00-5:00,6167.987793,6920.47998,5665.458984,6207.355469,6207.355469,323252.5625,,
2020-03-23 00:00:00-5:00,5816.297852,6615.895508,5685.447754,6474.849609,6474.849609,242422.7031,,
2020-03-24 00:00:00-5:00,6473.807617,6841.250977,6380.575195,6751.290039,6751.290039,221824.5938,,
2020-03-25 00:00:00-5:00,6750.354492,6963.755371,6450.703125,6680.988281,6680.988281,187084.8281,,
2020-03-26 00:00:00-5:00,6680.706543,6783.313477,6510.518555,6741.326172,6741.326172,113033.2344,,
2020-03-27 00:00:00-5:00,6742.874023,6851.30127,6259.010254,6362.55957,6362.55957,118561.125,,
2020-03-30 00:00:00-5:00,5881.20166,6607.241699,5858.834473,6397.365234,6397.365234,160362.4063,,
2020-03-31 00:00:00-5:00,6396.931641,6524.604492,6324.168457,6413.022461,6413.022461,92999.78906,,
2020-04-01 00:00:00-5:00,6415.347656,6693.446289,6153.473633,6649.137695,6649.137695,131824.0625,,
2020-04-02 00:00:00-5:00,6650.408203,7220.680664,6556.831055,6797.399902,6797.399902,205644.2813,,
2020-04-03 00:00:00-5:00,6796.489258,7048.110352,6604.293457,6735.378418,6735.378418,134505.5625,,
2020-04-06 00:00:00-5:00,6774.519043,7359.126465,6767.433105,7332.97998,7332.97998,165953.4531,,
2020-04-07 00:00:00-5:00,7332.808594,7460.693359,7077.226074,7198.306152,7198.306152,144723.2656,,
2020-04-08 00:00:00-5:00,7198.124023,7421.636719,7149.564453,7363.022461,7363.022461,104147.6406,,
2020-04-09 00:00:00-5:00,7362.146973,7372.777344,7114.632324,7285.670898,7285.670898,80133.99219,,
2020-04-13 00:00:00-5:00,6905.702148,6905.741211,6570.255859,6843.14209,6843.14209,135962.625,,
2020-04-14 00:00:00-5:00,6842.000977,6981.257813,6756.682617,6870.246094,6870.246094,89051.77344,,
2020-04-15 00:00:00-5:00,6870.440918,6934.82373,6606.139648,6622.648926,6622.648926,85665.78906,,
2020-04-16 00:00:00-5:00,6622.921875,7196.939453,6469.56543,7105.095703,7105.095703,176391.2813,,
2020-04-17 00:00:00-5:00,7105.312988,7150.996582,6980.233398,7030.584961,7030.584961,75009.42969,,
2020-04-20 00:00:00-5:00,7123.499512,7222.42334,6778.805176,6854.454102,6854.454102,138599.6406,,
2020-04-21 00:00:00-5:00,6831.321777,6945.482422,6765.169434,6844.76416,6844.76416,86259.89844,,
2020-04-22 00:00:00-5:00,6844.327637,7158.939453,6820.19043,7127.854004,7127.854004,83597.50781,,
2020-04-23 00:00:00-5:00,7128.187988,7752.719238,7024.274414,7487.681152,7487.681152,150469.2344,,
2020-04-24 00:00:00-5:00,7487.49707,7614.96875,7388.130371,7506.960449,7506.960449,85733.60938,,
2020-04-27 00:00:00-5:00,7695.896973,7794.459961,7611.958008,7777.603516,7777.603516,91087.125,,
2020-04-28 00:00:00-5:00,7776.957031,7782.59668,7661.299805,7743.412109,7743.412109,65777.54688,,
2020-04-29 00:00:00-5:00,7743.857422,8956.02832,7711.520996,8781.750977,8781.750977,273273.4063,,
2020-04-30 00:00:00-5:00,8781.649414,9461.114258,8403.172852,8623.046875,8623.046875,294574.25,,
2020-05-01 00:00:00-5:00,8621.680664,9062.800781,8615.8125,8827.030273,8827.030273,127112.8125,,
2020-05-04 00:00:00-5:00,8896.798828,8953.837891,8525.124023,8872.841797,8872.841797,149055.0313,,
2020-05-05 00:00:00-5:00,8874.212891,9117.228516,8775.710938,9022.097656,9022.097656,135640.7188,,
2020-05-06 00:00:00-5:00,9022.19043,9400.391602,8911.283203,9156.0625,9156.0625,166294.7813,,
2020-05-07 00:00:00-5:00,9142.861328,10067.33301,9023.158203,9989.257813,9989.257813,233701.1719,,
2020-05-08 00:00:00-5:00,9987.900391,10038.23828,9712.520508,9801.464844,9801.464844,170081.0938,,
2020-05-11 00:00:00-5:00,8724.65625,9170.389648,8226.160156,8569.602539,8569.602539,245412.6563,,
2020-05-12 00:00:00-5:00,8564.102539,8979.244141,8530.334961,8813.152344,8813.152344,110991.1172,,
2020-05-13 00:00:00-5:00,8813.198242,9402.660156,8795.374023,9311.740234,9311.740234,117862.0391,,
2020-05-14 00:00:00-5:00,9311.749023,9941.291992,9257.115234,9792.424805,9792.424805,163838.3594,,
2020-05-15 00:00:00-5:00,9792.632813,9846.432617,9134.972656,9315.198242,9315.198242,143363.8281,,
